"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тесты создания рецептов.","Тест получения списка рецептов.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест получения информации о текущем пользователе, без авторизации.","0","1","0","0","0"
"","Тесты получения списка тегов.","Тест получения несуществующего тега.","0","1","0","0","0"
"","Тест добавления рецептов в избранное.","Тест добавления рецептов в избранное, ошибка валидации","0","1","0","0","0"
"","Тесты создания рецептов.","Тест изменения рецепта, без авторизации.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест получения информации о несуществующем пользователе.","0","1","0","0","0"
"","Тесты добавления рецептов в список покупок.","Тест скачивания списка покупок, без авторизации","0","2","0","0","0"
"","Тесты добавления рецептов в список покупок.","Тест скачивания списка покупок.","0","1","0","0","0"
"","Тесты создания рецептов.","Тест изменения рецепта c невалидными данными.","0","1","0","0","0"
"","Тесты осуществления подписки на пользователя.","Тест осуществления подписки на пользователя, без авторизации.","0","1","0","0","0"
"","Тесты создания рецептов.","Тест создания рецепта, без авторизации.","0","1","0","0","0"
"","Тесты создания рецептов.","Тест изменения рецепта.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест удаления токена, без авторизации.","0","1","0","0","0"
"","Тесты осуществления подписки на пользователя.","Тест отписки от пользователя.","0","2","0","0","0"
"","Тесты создания рецептов.","Тест создания рецепта.","0","1","0","0","0"
"","Тесты получения списка рецептов.","Тест получения определенного ингредиента.","0","1","0","0","0"
"","Тесты создания рецептов.","Тест удаления рецепта.","0","1","0","0","0"
"","Тесты осуществления подписки на пользователя.","Тест получения подписок пользователя без авторизации.","0","1","0","0","0"
"","Тест добавления рецептов в избранное.","Тест добавления рецептов в избранное.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест изменения пароля, без авторизации.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест регистрации пользователя.","0","1","0","0","0"
"","Тесты осуществления подписки на пользователя.","Тест осуществления подписки на пользователя.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест получения информации о текущем пользователе.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест получения списка пользователей.","0","1","0","0","0"
"","Тесты работы с пользователем.","Негативный тест регистрации пользователя:                    указываем невалидные данные.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест изменения пароля, с некорректными данными.","0","1","0","0","0"
"","Тесты создания рецептов.","Тест создания рецепта с невалидными данными.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест удаления токена.","0","1","0","0","0"
"","Тесты осуществления подписки на пользователя.","Тест получения подписок пользователя пользователя.","0","1","0","0","0"
"","Тесты получения списка тегов.","Тест получения списка тегов.","0","1","0","0","0"
"","Тест добавления рецептов в избранное.","Тест удаления рецептов в избранное, без авторизации","0","1","0","0","0"
"","Тесты добавления рецептов в список покупок.","Тест добавления рецептов в список покупок.","0","1","0","0","0"
"","Тесты создания рецептов.","Тест получения рецепта.","0","1","0","0","0"
"","Тесты получения списка рецептов.","Тест получения списка рецептов.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест получения информации профиля пользователей.","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест изменения пароля.","0","1","0","0","0"
"","Тест добавления рецептов в избранное.","Тест добавления рецептов в избранное, без авторизации","0","1","0","0","0"
"","Тест добавления рецептов в избранное.","Тест удаления рецепта из избранного","0","1","0","0","0"
"","Тесты работы с пользователем.","Тест получения информации о пользователе, без авторизации.","0","1","0","0","0"
"","Тесты добавления рецептов в список покупок.","Тест удаления рецептов из списка покупок.","0","1","0","0","0"
